CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG.1;STAT;x;y;z
CAT048;20;129;05:45:18:828;41,35271935;2,24155051;632,435603840277;2074,92002650333;7,042969;63,632812;6317,0;20,75;347601;VLG1XG;1014,0;;;;;;-114,960938;171,0;0,268;-1088,0;-1152,0;402;182,6;245,3961;No alert, no SPI, aircraft airbone;45947,1671815089;26466,91095936788;632,435603840277
CAT048;20;129;05:45:20:297;41,18089128;2,05646812;1226,83405840769;4025,0462521863;7,503906;196,040039;432,0;40,25;344646;VLG5YL;1014,0;21,094;-173,145;248.0;1,469;244,0;-171,386719;225,0;0,364;2944,0;2912,0;3566;247,94;186,9489;No alert, no SPI, aircraft airbone;30538,37445787453;7302,524516532327;1226,83405840769
CAT048;20;129;05:45:20:531;41,25767104;2,05872263;480,059520537034;1574,99847735872;3,25;217,238159;1000,0;15,75;4D2240;RYR2SY;1014,2;;;;;;-168,574219;176,0;0,272;1408,0;1280,0;1034;181,72;189,8218;No alert, no SPI, aircraft airbone;30691,674607584482;15830,316861182488;480,059520537034
CAT048;20;129;05:45:22:766;41,31832487;2,14058364;175,258260438219;574,994311176126;2,039062;58,743896;1000,0;5,75;4CADE0;RYR64ZN;1014,0;-0,527;-114,434;148.0;0;146,0;-114,960938;143,0;0,216;-736,0;-800,0;197;148,28;245,6818;No alert, no SPI, aircraft airbone;37517,46153028299;22598,587591084324;175,258260438219
CAT048;20;129;05:45:22:820;41,35134944;2,23754056;609,577000826597;1999,92460739193;6,84375;63,577881;6317,0;20,0;347601;VLG1XG;1014,0;;;;;;-115,136719;171,0;0,268;-1088,0;-1152,0;402;183,7;245,528;No alert, no SPI, aircraft airbone;45612,54986475878;26312,656309491784;609,577000826597
CAT048;20;129;05:45:24:289;41,17636457;2,055278;1280,17521572486;4200,05005475874;7,78125;195,869751;432,0;42,0;344646;VLG5YL;1014,0;;;;;;-164,882812;225,0;0,368;2880,0;2752,0;3566;248,82;193,2495;No alert, no SPI, aircraft airbone;30440,61156148671;6799,384683917115;1280,17521572486
CAT048;20;129;05:45:24:508;41,25429605;2,05796772;502,919783571735;1649,99934273349;3,433594;215,645142;1000,0;16,5;4D2240;RYR2SY;1014,2;;;;;;-168,574219;183,0;0,284;1568,0;1312,0;1034;188,1;190,1129;No alert, no SPI, aircraft airbone;30629,982179355688;15455,22888873312;502,919783571735
CAT048;20;129;05:45:26:758;41,31722074;2,13733146;160,018556358293;524,995280442541;1,878906;58,145142;1000,0;5,25;4CADE0;RYR64ZN;1014,0;;;;;;-115,136719;142,0;0,216;-736,0;-736,0;197;146,3;245,3577;No alert, no SPI, aircraft airbone;37245,78750438275;22474,564940580898;160,018556358293
CAT048;20;129;05:45:26:820;41,34994465;2,23345685;586,718380125239;1924,92913025009;6,640625;63,522949;6317,0;19,25;347601;VLG1XG;1014,0;0,352;-114,434;184.0;0,062;182,0;-115,136719;172,0;0,268;-1184,0;-1056,0;402;183,7;245,528;No alert, no SPI, aircraft airbone;45271,769710333305;26154,504949980535;586,718380125239
CAT048;20;129;05:45:28:289;41,17206921;2,05332998;1333,51624316443;4375,05343122358;8,054688;195,974121;432,0;43,75;344646;VLG5YL;1014,0;;;;;;-158,730469;227,0;0,372;2432,0;2240,0;3566;250,58;198,1439;No alert, no SPI, aircraft airbone;30279,12843595872;6321,675828030934;1333,51624316443
CAT048;20;129;05:45:28:328;41,29008446;2,09705769;7,62009677197784;25,0003182933758;0,675781;199,555664;3216,0;0,25;343194;VLG2QW;1014,0;;;;;;-114,433594;102,0;0,156;-32,0;64,0;1827;99,0;245,506;No alert, no SPI, aircraft airbone;33887,67055781493;19444,3492908693;7,62009677197784
CAT048;20;129;05:45:28:492;41,2507745;2,05714243;533,400080311112;1750,00031948791;3,628906;214,178467;1000,0;17,5;4D2240;RYR2SY;1014,2;0,352;-170,156;194.0;0,031;196,0;-168,75;187,0;0,292;1760,0;1696,0;1034;194,04;189,7998;No alert, no SPI, aircraft airbone;30562,452354795594;15063,840234748917;533,400080311112
